frame_no,old_axis,old_origin,new_axis,new_origin,axis_difference (deg)
940,"[0.013293045631945333, -0.006947285776380596, -0.00010974651805195634]","[12.255690770784723, 16.461586438438896, 4.734571529368058]",[1.14338514 0.07578163 1.        ],"[12.255690770784723, 16.461586438438896, 4.734571529368058]",50.329022684724606
950,"[0.01457053489861515, -0.014077275961113855, -0.014273629283334976]","[12.242397725152777, 16.468533724215277, 4.73468127588611]",[1.13323181 0.07822791 1.        ],"[12.242397725152777, 16.468533724215277, 4.73468127588611]",88.26293658396347
960,"[0.023660661506939462, -0.020702102037503778, 0.0030496278874991845]","[12.227827190254162, 16.48261100017639, 4.748954905169445]",[1.12615642 0.08733729 1.        ],"[12.227827190254162, 16.48261100017639, 4.748954905169445]",54.18032693529499
970,"[0.008598832595833272, 0.000985708518058459, -0.004752369555554914]","[12.204166528747223, 16.503313102213895, 4.7459052772819454]",[1.15318668 0.10161044 1.        ],"[12.204166528747223, 16.503313102213895, 4.7459052772819454]",69.60525076807907
980,"[0.006464791905557377, 0.0066212051166658625, 0.00605295029583619]","[12.19556769615139, 16.502327393695836, 4.7506576468375]",[1.16225121 0.11500453 1.        ],"[12.19556769615139, 16.502327393695836, 4.7506576468375]",32.56866554851301
990,"[0.009006312459719723, 0.011971662279169237, -0.018029387688891063]","[12.189102904245832, 16.49570618857917, 4.744604696541664]",[-1.16740634 -0.11998832 -1.        ],"[12.189102904245832, 16.49570618857917, 4.744604696541664]",80.317226746083
1000,"[0.018378030626392317, 0.004202522052782598, -0.004667153230561105]","[12.180096591786112, 16.4837345263, 4.762634084230555]",[1.15687707 0.12233601 1.        ],"[12.180096591786112, 16.4837345263, 4.762634084230555]",54.95511771437032
1010,"[0.018094740065276227, 0.005951436058325044, -0.006917090736105358]","[12.16171856115972, 16.47953200424722, 4.767301237461116]",[1.15098495 0.1290685  1.        ],"[12.16171856115972, 16.47953200424722, 4.767301237461116]",61.74911811474449
1020,"[0.0223604679888858, -0.006128479295824718, -0.0030754806763901854]","[12.143623821094444, 16.473580568188893, 4.774218328197222]",[1.13152975 0.13178793 1.        ],"[12.143623821094444, 16.473580568188893, 4.774218328197222]",52.83267155612585
1030,"[0.009715783881947715, -0.009457683286118623, -0.016347851388887946]","[12.121263353105558, 16.479709047484718, 4.777293808873612]",[-1.12579676 -0.12522084 -1.        ],"[12.121263353105558, 16.479709047484718, 4.777293808873612]",78.1426118731714
1040,"[0.01635781065971642, -0.013306168158322862, -0.003226084626390069]","[12.11154756922361, 16.489166730770837, 4.7936416602625]",[1.13846438 0.11609003 1.        ],"[12.11154756922361, 16.489166730770837, 4.7936416602625]",64.7044022891195
